Summary,Sentiment,Rate
very temty product but not useful for regular work only 1,negative,1.0
highly disappointed machine very slow while sewing very bad quality,negative,4.0
price is very high and also gives very less number of printing,negative,1.0
very bad experience with installationthe installation boy is talked ng rudely as i am his servantand have done crime by purchasing this geysersorry but i am going to return,negative,1.0
performance is not so good lcd touch response is slow and processor speed is slow i woundt believe its 2gb ram,negative,3.0
cheap material deflates as soon as u use them doesnt inflate for a whole 56 minutes pathetic product seller,negative,1.0
mkv format not supported in available software so download vlc media player first and 1 additional benefit required offline screen mirroring google chromecast is not supported offline mirroring,negative,5.0
it need a router to work no instructions there is no information about the router in review of the product,negative,1.0
i want to return it no replacement cutter quality is very bad but now stuck to this scrap product last item bought from here,negative,1.0
poor quality do not buy it cheap quality chinese bag that too of 1 liter capacity,negative,1.0
app is not working there is no app in play store as they claim totally waste of money,negative,1.0
dost feel any difference in room air quality after using a month,negative,3.0
one is quality good but another is very bad quality,negative,3.0
its a headache while setup and setup will be reset in 2 months dont waste your money,negative,1.0
disappointed old macbook was awesome there is only c port poor quality webcam no magnetic charger no fan it feels like tablet not happy with purchase missing my old macbook,negative,1.0
not up to the mark crippy noise coming not satisfying for sound quality and bass,negative,1.0
not very hardy u have to give tight fittings and uniform load otherwise it will collapsed,negative,3.0
flipkart should enhance his packing policy packing is little bit weak than amazon,negative,3.0
remote control frequency is too low the distance to operate even from 3 meters it doesnt work,negative,3.0
very bad experience of the product within 6 months motor got damaged and not able to repair also now,negative,1.0
not soo flexible like alexa it was not able to understand indian english accent,negative,3.0
very poor quality backside of the plate start having cracks,negative,2.0
wrest product waste product cheating in flipkart last tirm same product i booked but chainged product duplicate item,negative,1.0
very bad very delicate not able to put 1 stitch also dont buy,negative,1.0
i didnt like the products not a single seeds able to produce a plant or flowers,negative,1.0
to small and very bad quality dont buy this product se look like big but se is to small and quality not perfect,negative,1.0
very bad experience passwords went wrong cant sign in epic game so many errors in this lappy worst dont buy,negative,1.0
about delivery time flipkart is always one step aheadnce packaging overall nce in low range,negative,4.0
these are very useless products some of the kits were bad in some packets and there was no liquid in some,negative,1.0
very small and for 15k its okey not worth more than ot,negative,1.0
after using in 1 month joints get slightly apart dont know why have anybody seen this in their product also,negative,3.0
i think avarageusing from 3 months no effects are seen in babyits avarageif baby dont like to drink milk mix this powder in milk then may be baby liked the milk,negative,3.0
in one day it got punctured very bad no useno pvc materia used worst,negative,1.0
ofter one week all parts are brokenand break full damaged,negative,1.0
good but plug is small not fit in normal boot i need extra socket,negative,3.0
0 comfortable 0 for quality your foot will get pain after using this shoes,negative,1.0
the color of the material is not same as displayed too heavy for wall mounted,negative,2.0
today i noticed that stitch broken and sole damaged some what its only 1 month use,negative,1.0
very very waste this item im using this product after 7 months this product is suddenly not working this product any one did not buying this product,negative,1.0
too poor as shown in picture not suitable for books,negative,1.0
received dent sound bar again and not working now need replacement asap,negative,5.0
i purchased machine from flip kart but got refurbished machine not working voltas is also not listening my 28 thousand goes waste,negative,2.0
leader cycle is waste of money very light body cycle bends when you sit all angles are miss match got defected rear ball bearing please prefer another brand hero is far better,negative,1.0
only waste of money not quality of seed present inside of this box,negative,1.0
whole set are goodbut plates are little smaller than expected,negative,3.0
they sent me a demaged product and they have no return policy my money is totally wasted,negative,1.0
really very bad product im los my money so many time i cancatct but no body responds please call me now that speaks not working now please call me costumer cere im waiting,negative,1.0
not good very small size for that money not in use remote properly totally bad,negative,2.0
product quality is good no delay to deliver the product,negative,5.0
very very poor quality and service in aquagrand skyland products,negative,1.0
wrost product we played 2 hour only with this ball and it have holes and air is going out dont buy we believed niviabut they spoiled it,negative,1.0
bad qualitymost of the lights dont worka five watt night lamp more then bright it,negative,1.0
not proper conectivety blue tooth i am already inforam no body attend complent,negative,3.0
not a good product very bad fragrance dont buy it otherwise you will just lost your money,negative,1.0
motor bearing stopped working after 5 uses within a yearpathetic experienceeven though the product is under warrantyi was charged money for replacing the bearing,negative,1.0
500 seeds per packet u have written there but i got only 92 inknuts for rs 149 sooooo disappointed,negative,1.0
after one weak adapter is not working night vision not work properly notification msg dealy bad product,negative,2.0
not up to the expectation bass is not that good just loud sound and nothing else,negative,3.0
worst after sale support avoid buying it i have used lg and samsung machines their after sale support is awesome waiting for installation even after 1 month,negative,1.0
products is not useful because the process of heating is slow and it take too much time,negative,1.0
dont buy this product this is waste of moneyproduct is not made of cotton product is cheapest one,negative,1.0
very bad quality on my first day only the wheel broke,negative,1.0
worst product even spring is very hard and tight to spread plz dont buy,negative,1.0
water is not pouring from holescrompton services are not good,negative,1.0
the machine is not working after 30 days of buying we have used it for 10 days maximum dont know whats wrong i will not buy anything from kent in future,negative,1.0
i have ordered only 2 days working after not working cartridge missing command coming,negative,1.0
worst response frm the hindware companyno one will come for installationplz never buy the hindware company productsjust thy were passing the timeworst cmpny worst response,negative,4.0
very bad product dont buy water is not heat in this geyser very little water stored in this geyser,negative,1.0
i think all the discounted electrical products on flipkart are somehow defected,negative,2.0
cooler is average small size and costly rather than market,negative,2.0
not good very bad it is swing and if any full filling the shelfs bendingnot good dont buy after 3monthi am writing this review,negative,1.0
im very upset this keyboard typing key problem mouse only good working but keyboard very bad working,negative,1.0
product is good looking but small is size and after one week used leaked shown,negative,1.0
price is very high as compared to its capacity to hold heavy books weight not so good productsome accessories are missing,negative,3.0
ordered phone and charger charger received after 20 days not received phone yet it s been more than one month take the charger what will i do with this without phone,negative,1.0
3rd class quality before use you must use fevicol to fix this properly,negative,1.0
it is very bad skating board wast money tair is bad,negative,1.0
worst service by jeeves demo and installation more over washing machine washing quality is good very low noise easy to use,negative,5.0
it is not at all smooth and lags a lot and lot and lotthe ram and cpu are just not good enoughtoo much lags,negative,1.0
budget king value for money one thing u have to worry about is battery but this is common for all gaming lap,negative,5.0
it is good quality but did not like because it has plastic wheels,negative,1.0
dont buy this product total waste of money and time fan speed slowly decreasing and cooling is not that good consistent,negative,1.0
avg product cordlength is small and cooling system is also avg not value for money,negative,3.0
pathetic products didnt receive face shape balloonsneither green ballonstoo bad experience,negative,1.0
quality is good but design is not clear in the plates,negative,1.0
i strongly believe that its not give 10k mah power and also not supporting fast charging,negative,3.0
its damaged by only 20 days its a very bad quality no any body buy this products very very bad,negative,1.0
the machine was defective stopped working after 1 days but got it repaired by kent service team after 1 weekflipkart closed replacement ticket even with out troubleshooting,negative,1.0
charging is tedious job every time screws are required to be opened and charged connector pins got damaged and is difficult to fit back post charging,negative,3.0
good as in first lookbut the quality is not as much good my review is dont buy this skate because after using a will it get damage,negative,3.0
superb everyone should use this product whoever is suffering from backache,negative,5.0
the device doesnt work with mobile appit always shows device offline,negative,1.0
i got this product it was fine but after 10 or 11 days the ball got punctured,negative,1.0
iam a cricket coach in chennai the bat and everything is good but the bag quality is very very poor,negative,5.0
poor build quality fittings are not perfect also no manual is provided which can a lot of your valuable time,negative,2.0
bought 2 of them for emergency use and when i opened the vial with the liquid there was so less of it that the liquid dint drop out of the vial to the testing strip,negative,1.0
music quality is worse than bullets z i regret purchasing is,negative,2.0
good product but the material of lid is very very low qualitywithin 2 days lid catches rust,negative,4.0
i got a faulty device gifted to someone now i am really worried how to replace the product very disappointed,negative,1.0
this one is not bad in terms of the price,negative,2.0
its not working minimum 3monthsmoney n time west for this very bad company,negative,3.0
its so heavy even i dont able to kick properly and the rubber coating is not good,negative,3.0
its claiming that its a qc3a changer but when i use the charger to change my mobile its taking longer than usual so i have returned the charger please check before buying this product,negative,2.0
just okmotor doesnt starts until all the parts are fittedthis thing is not good at alldough is not kneading properly,negative,2.0
not that good cycle very tight and rigid no smooth lot of sounds breaks also like jammed could ve gone for better,negative,1.0
dont buy its wasting of money it stop working after 2 months,negative,1.0
very compact and bed product water pump not working after 7 days of delivery not recommended,negative,1.0
does not run on a separate motor quite hectic for daily usage not worth if you arent a chef,negative,1.0
if u are interested to buy pls dont buy it worst product,negative,1.0
no problem with charging but poor built qualityand cable included is of worst quality stopped charging within a month,negative,1.0
size is small need more equipment to fix in the wall my woofer fall down from it,negative,2.0
not so reliable if you put some extra weight the base will detached automatically wastage of money dont buy if you think you put all you kid stuff katha,negative,1.0
not double bed blanket only single and also not good,negative,1.0
just in two months motor got burnt it will heat very much dont buy,negative,1.0
solder is not working properly and i didnt get the wire to sold it,negative,1.0
i didnt get any bat cover also bat damaged 45spotafter 2hour all mrf sticker falling downtotally quality is not good,negative,1.0
juicer is goodmeet the expectationsclean it immediately after use to avoid blocking of net jar,negative,4.0
not impressed better product are available in this price rangesetting for bass and other settings should also be given,negative,2.0
product was nothing to say good but to much high price,negative,4.0
mi led was superb but its mirror connecting is not so good it disconnect after 10 to 15 min and its picture quality is very very good and sound quality also,negative,4.0
i feel no difference before and after i use this air purifier though there is number differences in the airpurifier app,negative,4.0
very lit not stiff to baby weightbaby diving very disappointed,negative,2.0
very bad this product i have only 10mins on then automatically off,negative,1.0
after one week ro is not working and i have called to call center but not responding from aquagrandvery bad experience,negative,1.0
very worst instalation service plz dont go through this item,negative,1.0
after using 3rd time itself the front big switch has stopped working now i am unable to make it low or high even i cant switch it off,negative,1.0
not working in only 1 month not going to buy any mivi products worst sound quality worst battery backup and not turning on damaged in 1 month,negative,1.0
unable to connect with phone via bluetooth it is useless product for mewest of money feeling to be cheatedreally disappointed,negative,1.0
old product received also have many scratches and dent on pad holders not recommended this,negative,3.0
worst product 30rps product no qualityprice too muchdont waste your money,negative,1.0
this product is very bad and customer service of hindware is very baddo not purchase,negative,1.0
taking almost 1 12 hour to grind 1kg rice which is equal to government issused grinderworst product,negative,1.0
worst mobile i haver ever purchased didnt catch the network and wifi also not good,negative,2.0
very bad product dont investe your money this type of product,negative,1.0
waste product 10 days good and high speed cooking power oftar 10 days cooking preference is very very very bad totally product is very very worest,negative,1.0
a normal charger i feel when i connect my oppo f 17 to another charger the battery indicator shows green colour but here the normal white colour that means there is no dual charging happening,negative,3.0
mic is not working and phone got hanged when i used it,negative,1.0
this is waste of money battery is not working properly,negative,1.0
product quality is very bad i use is 1 months then review,negative,1.0
not delivered as promised delivery person asked us to pick up with our own expenses which was around 20 kms,negative,1.0
nice product but give more instructions about fittings we just stuck with screws,negative,4.0
i purchased this item one year back it sounds horrible like any factory rightly named as food factory i made several complaints though attended could not be rectified i am planning to take legal recourse,negative,1.0
4 hours charge only 1 charging do not charge full,negative,1.0
very worst product and call automatic disconnect dear all plz dont buy this product and also flipkart customer not responded,negative,1.0
for first time use the tip of the kajal was broken,negative,2.0
rate is cheap so the product is life span also less most of the product are defective,negative,1.0
wrost product it will always not connect to wifi never buy anyone this,negative,1.0
overall phone is too slow incoming call screen appears after 410 sec similerly contact list apears in about 10 sec too slow not recommended to puechase,negative,2.0
waste of money irresponsible fellows woodbuzz products are not standard,negative,1.0
my 24000 rupees buy canon camera instead some problems in cemers but flipkard not exchange is very bad,negative,1.0
the size of the full plate and the bowl is too small,negative,2.0
the product is not satisfiesable that shown in picture this is fully waste of money,negative,1.0
product was good but received a defective one where doors were not closing properly anyway returned it,negative,3.0
only thing that i dont like is it takes more time to heat else everything is fine,negative,4.0
driving people crazy very bad product please dont take this types of product from flipkart please i request to all of you guys brand new as shown nothing in this product,negative,1.0
showing something and sending something else i think this is very bad if this type will continue then people will not trust so rectify the practice you are adopting,negative,1.0
u can only use it for one week or ten days,negative,1.0
not connecting to my phone and flipkart is not taking it back,negative,1.0
i have received item 2 pieces suitable for right ear not pair,negative,1.0
charging issuesonly one 500mah battery includedplaying time 15 only minutes,negative,1.0
not satisfactory design is not as in add cloth quality is also poor,negative,3.0
i got a faulty device gifted to someone now i am really worried how to replace the product very disappointed,negative,1.0
nice but cant play with stumber or other hard balls,negative,4.0
very bad sounds quality and the seller of this product allow to replacement police so buy this product with your own risk,negative,1.0
i set today 220ah battery and heating issue over heat alarms comes repeatedlyafter registering complaint and get repaired it is working smoothlynice inverter thanks to luminous services service engineer came within 8hrs of complaint registerd,negative,5.0
its not good the material doesnt have any standard size 32 seems size 30 it is very tight for me,negative,1.0
it is not working properly the grinding is not happening as it is supposed,negative,1.0
its a waste products its not reached my expectations 1 also dont buy it waste of time and mainly money,negative,1.0
very bed totally damage not order this car money west,negative,1.0
worst product please dont waste your money on these cheap products,negative,1.0
not satisfied active book had very less pages and total mrp of all items is equalto 350 no concession of cello,negative,3.0
great working nice no shock no worry about water shock i daily touched water no shock bucket water heat in 5 to 8 minutes,negative,5.0
after using it for 15 days the charger is not working now,negative,1.0
nice and but the room is not so cool a i dont know why,negative,4.0
i am writing this review ofter 20 days worsted charger when i am keep charging on mobile its hang,negative,2.0
this product is totally unreliable a total waste of money it often collapses and does not have a firm stand a really terrible product please do no buy,negative,1.0
phone is laging to much when i opened for the first time,negative,1.0
good sound deep bass but tv attachedment sounds quality not good its ok ok,negative,5.0
the are not providing installation worst experience flipkart cc is saying talk to bajaj cc and bajaj is saying talk to flipkart cc its an endless loop,negative,1.0
1 year back i bought the same table the product was very good but today i received a poor quality product very much disappointed,negative,2.0
very bad service and product is not good as i seems in the photos,negative,1.0
suction range is poor dont expect too much blower not available as they mentioned,negative,2.0
very bad quality couldnt print even 5 documents seal opened and defective productnever buyno return policycheated by them,negative,1.0
waist elastic not good and inner pocket elastic pinching the skin,negative,1.0
i purchased this for iphone 12 and suddenly my battery health fall down 10097 in jst 20 days hated this product,negative,1.0
chair is average but table is dangerous for kids sometimes table may fall,negative,3.0
i am working with 3 to 4 days the soldering iron was faulty,negative,2.0
good product but its quite difficult to add into ceiling,negative,4.0
product is not as expected too noisy n not giving fine paste i would prefer butterfly instead of this prestige,negative,1.0
on this price its a damn good go for it,negative,4.0
worthyfor this price it is worthy seize as per pic quality is good after handwashing no colour fade,negative,4.0
good job by flipkart but team jeeves suck communication with installation team is very poor,negative,5.0
guys dont buy this product its not working and body quality is very bad,negative,1.0
its worked only 20 days now its working just waste of money,negative,1.0
very bad material colour same nahi hbattery support bahut week h,negative,1.0
very worst performance you need to grind minimum 4hours for 1kg rice review after 4month experienced,negative,1.0
cloth quality is too poor and not much space to keep all cloths,negative,2.0
low cost but first class children sleeping few minutes thankyou flipcart,negative,5.0
dont waste your money local brand only sponge inside in every filter,negative,1.0
this sewing machine is for thin clothes not for thick clothes thanks,negative,2.0
worst item i never seen this product dont buy this product,negative,1.0
not satisfied that much its okayish purpose has been solved 70 percent,negative,3.0
this product is very bad because sole is broken after 60 days,negative,1.0
quality of product is good but no of product in packet is less than written on packet,negative,3.0
i ordered two productsone product ia good and another one so much noise my time is totally wasted for this fans,negative,1.0
dont buy this product are poor qualityand what is this nonsense 5 star rating 50 cashback what is this you think i am money minded dont buy this product,negative,1.0
theme balloons are very small disappointed with them otherwise product is ok,negative,3.0
camera is not show good for indoor lighting and all other things are just next level,negative,5.0
niceexelent work but no demo class and no cd using to first time lerner no person coming to house i dispointed,negative,5.0
the car quality was very bad it was not working properly it was broken suggesting don not buy it,negative,1.0
i didnt like the product its difficult to assemble and quality is not good i cant even return it i am stuck with this useless thing i dont know what to do with this,negative,1.0
horrible product its just a month and not working well,negative,1.0
no doubt excellent product the only draw back with apple is the pricing which is a bit difficult for everyone to afford it but otherwise a must go product,negative,5.0
one of these two has worst quality different fabric n different elastic,negative,1.0
produces lot of heat feels like it was melt r flame up,negative,2.0
easy to set and nice product but his road and cloths are not good its a average,negative,5.0
quality is very bad pls dont go for it it get puncture after 23 days of play,negative,1.0
its good but cloth is little bit lack in quality,negative,1.0
not meant for fruit flies at homehard to hang itdoes not attract flies,negative,1.0
after useing few weeks water test become change i do not suggest to buy this,negative,2.0
rather substandard dishwasher made in turkeythe detergent compartment lid is not easy to close there is no easy way to increase or decrease rinseaid release in this model,negative,3.0
product looks nice but easily breakable one plate broken within few days,negative,2.0
this product is not good i used it only 34 days,negative,1.0
this doesnt work keeps saying that there is tecnical error invalid casettewaited 15 mins twicenot done,negative,1.0
please dont buy this keyboard this is very bad after every one month your one key will not work,negative,1.0
after using for three months i can clearly say that this product is not at all recommend for who needs powerful and fine grind very average performance takes multiple rotation just to paste onions poor,negative,2.0
very poorwithin one month motor got damaged and replaced with new motor,negative,1.0
the machine is not working after 30 days of buying we have used it for 10 days maximum dont know whats wrong i will not buy anything from kent in future,negative,1.0
every one say that this plate size is small only breakfast time news and not to eating rice,negative,4.0
dont buy this one not good i have used one time only its gone waste,negative,1.0
it stopped working in 3rd month i haver hardly used this product 10 15 times,negative,1.0
verry poor this product i am not satisfied with this one so i want return this product,negative,1.0
product is awesomebut delivery partners behaviour was very rude need to change him,negative,1.0
dual apps is missing second space is missing i brought poco only because it has miui and all these featuresregretting buying thishope poco fixes this in next software updates or else illnever ever buy poco,negative,1.0
writing thise after two months shoe is looking good but i use 2 month soul is break in center on down side i really very unsatisfiedover all product is too bad please dont by it,negative,2.0
very poor quality plastic very poor setting is cumbersome cetrifugal juicer is useless makes lot of noise you have to literally hold it to stop it from moving very bad,negative,1.0
sometimes disconnected not covering proper area but product is good,negative,2.0
nice and stiff cloth but now the cloth material has been degraded,negative,5.0
actually zero star as no star to be given its completely bakwas product within 3 months sole broken,negative,1.0
the product is good but flipkart delivery is very poor for such products,negative,1.0
not very good the kajal is breaking out easily waste of money,negative,2.0
not for bass lovers brought with so much expectation but disappointed me average speaker thats all,negative,2.0
battery or performance beast no one beat at this price range,negative,4.0
it is just a waste of money and time it doesnt wash the utensils properly not suitable for indian kitchen we returned it,negative,1.0
no otg no hdmi no headphones option over priced ok displaynot as per the price range poor camera quality totally waste of money and there is no return option,negative,1.0
not so good it cant be kept inside creates humidity infact we have good ventilation source,negative,2.0
i received the product on time but installation was not done on time atleast there is no intimation for the delay really having bad experience with installation process,negative,4.0
very bad product please dont waste your valuable money this is useless,negative,1.0
too much wastage of water like 80 wastage your soul will leave you body of you see all the water flowing down the sink,negative,1.0
delivery was fast but juicer was not up to the mark difficulties in extracting carrot juice as the juicer blade is of plastic,negative,3.0
this product is worst product in bajaj flipkart only sale this product he dont satisfy the customer demand,negative,1.0
its ceramic very thin very poor product dont loss your money and the fabric design is rough,negative,3.0
product is okay but installation person is so rude and no manner,negative,1.0
very bad product do nay buy any more all baloons are having hole color also faded n the foil baloons are to small its very disappointed,negative,1.0
worst product waste of money dont buy this and flipkart do not encourage this kind of products,negative,1.0
quality is ok but not too good for small its good sound,negative,3.0
actually very bad experience for installationvery uncooperative staffnot good response,negative,1.0
thank u for flipkart sound speakr very bad and very noise,negative,3.0
this seller is selling third class item within 15 days heating element has burst thanx flipcart,negative,1.0
worst product its plastic not standard dont buy this return option not available only replacement waste of money,negative,1.0
not so good front mini table oneside not fixed properly,negative,1.0
its a worst product from flipkartplease dont buy it it supports only hd,negative,5.0
writing this review after using 15 day s and found no issues recommended at this price range go for it,negative,4.0
its not so much comfortable n its very heavy do nt buy,negative,1.0
after fifteen days used remote was not worked bad experience faced,negative,1.0
the product is damaged at bottom some welded spot at bottom,negative,1.0
over power consumption and lot of time taking to make the water hot when compared to other heaters with low price,negative,2.0
take 1 hour time for cook rice and it is not work properly,negative,1.0
its not so good and the color is also changed overall dont like the product and also not recommendable,negative,2.0
poor quality wire and two pin socket plug and unserviceable on day one,negative,1.0
thanks for flipkart i am buying in 17218 rupees grt product but confusing in using because i am a beginner,negative,5.0
worst product first i received broken bowl then i replaced second this is not microwave safe plate burned after using in microwave,negative,1.0
this product is not good the blade rises when its used in the big jar so stuff below it does not get blended not a good purchase would like a refund,negative,1.0
its material is nice but size is too big i am was so angry of this not worth for money,negative,2.0
no it is comfortable but it has very bad quality it is unuseful after 2 month of use,negative,1.0
waste of money useless product service is pathetic dont buy it as after sale service wrost the sound is also very bad go for boat,negative,1.0
looks good not that much strong and good but in this price range what more we can expect,negative,5.0
never buy cartridge online they arent genuine i wasnt able to take a single print waste of money,negative,1.0
worstthey cheateditsnt suitable for heavy winter and size is too small,negative,2.0
it stop working in just 8 days no response from customer care executive totally disappointed,negative,1.0
it is taking too much time to grind i strongly recommend dont go for it dont buy this product never buy this product,negative,1.0
not a good productgear shifting is very bad and noisygears are jumping to 5th from 3rd,negative,1.0
not satisfied the refils are very weak the bucket is also not strong and damaged,negative,3.0
its good but waste collection box is having gaps when connected to mixer so waste comming out could have given proper lock for that too,negative,4.0
very poor quality even after 6 washes the black colour keeps running useless product,negative,1.0
worst producteven i cannot return this productmi phone speaker is better than this,negative,1.0
there is no proper manual for installationit takes so much time for fixing itthe table is not so goodbooks doesnt fit into itits an average product,negative,2.0
looking goodacceptable features worth buyonly thing is installation charges heavy,negative,4.0
